1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0.010032,0.14403,0.10621,0.11628,0.17177,0.20028,0.21897,0.2657,0.27496,0.32486,0.36183,0.37248,0.36181,0.33179,0.32085,0.33899,0.29364,0.31475,0.32094,0.31074,0.35175,0.35173,0.35612,0.39112,0.39741,0.42864,0.43057,0.41567,0.43633,0.39504,0.39826,0.3469,0.30139,0.31382,0.28293,0.27452,0.19618,0.194,0.25563,0.17758,0.27131,0.23835,0.12415,0.16987,0.073213,0.090745,0.25381,0.34493,0.40318,0.4243,0.42801,0.42801
0.82859,0.68954,0.4969,0.34643,6.75E-306,2.77E-59,0.87375,0.73806,0.70201,0.85337,0.84001,0.84251,0.86029,0.7956,0.8304,0.82211,0.83526,0.8323,0.86927,0.87647,0.87037,0.91624,0.8827,0.88583,0.8906,0.88389,0.84573,0.86524,0.86848,0.847,0.83762,0.86082,0.84192,0.84854,0.84472,0.84799,0.87154,0.85372,0.85208,0.83728,0.81157,0.79976,0.76355,0.75935,0.79336,0.80716,0.86287,0.90857,0.88446,0.87303,0.90087,0.90087
0.15799,0.13433,0.17991,0.22869,0.25951,0.2462,0.31374,0.39097,0.45287,0.46363,0.45719,0.43992,0.43172,0.3575,0.32364,0.2917,0.27195,0.34116,0.27358,0.33079,0.35389,0.38709,0.42492,0.46797,0.47689,0.50636,0.49497,0.50005,0.5277,0.49859,0.47599,0.43433,0.39102,0.37925,0.37072,0.27337,0.31513,0.3302,0.3193,0.33567,0.31775,0.29752,0.2979,0.2628,0.27774,0.29694,0.32509,0.38838,0.4192,0.44542,0.45018,0.45018
0.079629,0.17017,0.26882,0.18345,0.19664,0.30467,0.34571,0.41984,0.43552,0.44381,0.46074,0.46582,0.46804,0.45623,0.42996,0.45219,0.45618,0.47974,0.47081,0.47552,0.48492,0.48718,0.52507,0.52799,0.5243,0.54444,0.54369,0.54143,0.56479,0.52493,0.52099,0.49871,0.38844,0.49763,0.35693,0.34479,0.29954,0.3085,0.32305,0.33309,0.32401,0.3317,0.28887,0.34376,0.36183,0.43228,0.49176,0.52199,0.53817,0.54659,0.53946,0.53946
0.16372,0.14792,0.18924,0.18917,0.20169,0.2092,0.24,0.24478,0.29374,0.32635,0.33814,0.34684,0.32829,0.33599,0.31328,0.29257,0.26038,0.26639,0.26046,0.26183,0.26959,0.28838,0.32624,0.37236,0.38604,0.43094,0.4418,0.43047,0.44127,0.41224,0.38413,0.35441,0.31471,0.29323,0.2669,0.2422,0.23835,0.25771,0.21967,0.20238,0.19557,0.16407,0.17205,0.12472,0.14222,0.16067,0.24682,0.31691,0.35177,0.36651,0.37745,0.37745
0.23163,0.22012,0.25042,0.26757,0.23301,0.20597,0.20955,0.12167,0.14301,0.18035,0.24225,0.27489,0.27061,0.24142,0.19419,0.19525,0.19464,0.28716,0.28088,0.31729,0.36006,0.41061,0.45694,0.46982,0.45491,0.4517,0.42135,0.40271,0.42814,0.38249,0.36767,0.36278,0.33844,0.35931,0.33822,0.34399,0.36528,0.38429,0.38619,0.38535,0.36172,0.32352,0.29281,0.28815,0.2397,0.2357,0.26512,0.26999,0.33601,0.34665,0.37711,0.37711
0.3564,0.40587,0.4087,0.35558,0.34752,0.34041,0.25821,0.21281,0.088664,0.066394,0.055858,0.091767,0.19758,0.038017,0.10593,0.16271,0.15768,0.20054,0.22705,0.28464,0.32881,0.3911,0.43418,0.45927,0.45207,0.48967,0.44933,0.4601,0.48584,0.46025,0.44011,0.41805,0.38233,0.39737,0.37574,0.4115,0.43,0.41533,0.38845,0.35263,0.30728,0.21775,0.11638,0.033188,2.63E-55,5.86E-27,0.049299,0.20812,0.32264,0.35479,0.36028,0.36028
0.16263,0.39215,0.39006,0.39944,0.40172,0.38811,0.30224,0.19805,0.2484,0.35092,0.30867,0.34624,0.31807,0.31579,0.27006,0.28128,0.3538,0.31541,0.35907,0.35836,0.36097,0.38361,0.44726,0.49549,0.50987,0.54705,0.51315,0.51663,0.5391,0.5148,0.48547,0.46546,0.43392,0.4413,0.44415,0.42973,0.462,0.46528,0.4606,0.42321,0.35938,0.40724,0.20425,0.14137,0.024489,4.34E-11,0.08411,0.21535,0.34809,0.43162,0.4702,0.4702
0.49081,0.51711,0.5238,0.53836,0.5251,0.51273,0.4579,0.42359,0.32866,0.30973,0.40297,0.45018,0.4048,0.4663,0.3863,0.39948,0.35782,0.39705,0.33463,0.44519,0.38817,0.47394,0.49988,0.54245,0.55319,0.58211,0.55537,0.56162,0.58924,0.55843,0.54749,0.51754,0.4776,0.51201,0.53393,0.47455,0.51918,0.49529,0.48113,0.43749,0.37405,0.30573,0.26331,0.14472,1.02E-64,2.12E-71,0.12859,0.39844,0.45367,0.54083,0.53625,0.53625
0.22706,0.2267,0.19967,0.16509,0.16607,0.18703,0.18914,0.26177,0.34789,0.41035,0.42056,0.42165,0.40376,0.383,0.34616,0.33465,0.31157,0.32083,0.2991,0.31124,0.33437,0.35394,0.37247,0.40159,0.4025,0.41385,0.42088,0.42192,0.44845,0.42029,0.4134,0.39189,0.37744,0.37395,0.35804,0.35999,0.37265,0.38257,0.3803,0.3616,0.3353,0.3146,0.26579,0.23991,0.26181,0.28829,0.34631,0.4172,0.44614,0.46768,0.45966,0.45966
0.12451,0.19507,0.1907,0.17228,0.16366,0.16822,0.15694,0.18179,0.2321,0.30865,0.3308,0.3405,0.33569,0.33248,0.30404,0.28898,0.26879,0.26809,0.22577,0.23656,0.24617,0.30387,0.34154,0.32981,0.33416,0.37813,0.38573,0.39131,0.41153,0.39168,0.37358,0.34071,0.31957,0.32231,0.26374,0.26458,0.24582,0.24877,0.25206,0.24275,0.20413,0.16308,0.11304,0.079993,0.065409,0.070313,0.17563,0.26282,0.34485,0.37703,0.40118,0.40118
0.32036,0.24665,0.15094,1.59E-12,1.71E-29,5.35E-42,1.06E-39,0.087219,0.18899,0.21896,0.32279,0.2918,0.49216,0.54642,0.5466,0.55285,0.48195,0.46058,0.47051,0.45426,0.44639,0.43635,0.50962,0.44767,0.45368,0.4998,0.50751,0.48329,0.55067,0.47413,0.46884,0.42111,0.37844,0.4025,0.4315,0.45241,0.49275,0.46602,0.45101,0.47628,0.4497,0.43261,0.38499,0.40933,0.3671,0.38478,0.44206,0.5371,0.59405,0.62451,0.62418,0.62418
0.45214,0.25471,0.20908,0.11566,0.10278,0.13945,0.20758,0.21616,0.44968,0.53154,0.55604,0.54739,0.53351,0.54423,0.496,0.48604,0.51782,0.51515,0.55191,0.56036,0.59254,0.57924,0.61559,0.6095,0.60294,0.62,0.58887,0.56951,0.59273,0.55177,0.52408,0.50158,0.48237,0.49645,0.51117,0.50138,0.49373,0.48979,0.46294,0.45553,0.43706,0.44418,0.38709,0.3943,0.35128,0.3172,0.43342,0.47309,0.54707,0.56341,0.57254,0.57254
0.19149,0.24608,0.25722,0.30664,0.29655,0.29227,0.24487,0.17562,0.14594,0.17754,0.21895,0.2338,0.2561,0.26821,0.27914,0.28344,0.27677,0.27492,0.28092,0.30748,0.34767,0.37723,0.4225,0.41645,0.39756,0.40053,0.3783,0.36022,0.38697,0.35495,0.32621,0.30201,0.26652,0.26737,0.25588,0.2761,0.30763,0.32896,0.31151,0.30644,0.27149,0.24081,0.16848,0.078604,1.52E-10,0.023084,0.12732,0.21329,0.28139,0.31966,0.33247,0.33247
0.19709,0.23308,0.23528,0.27907,0.24468,0.23936,0.22005,0.20007,0.1802,0.21103,0.24427,0.2934,0.28808,0.3069,0.29636,0.31073,0.29306,0.29048,0.31469,0.35281,0.37662,0.40572,0.44939,0.46243,0.44943,0.46164,0.44266,0.42717,0.44923,0.40565,0.37743,0.35263,0.30487,0.28946,0.2859,0.28634,0.30936,0.32991,0.32202,0.32224,0.29954,0.27388,0.22231,0.20274,0.15274,0.14312,0.20683,0.25528,0.32937,0.38297,0.41607,0.41607
0.24846,0.32522,0.45719,0.50936,0.45747,0.45813,0.44376,0.44387,0.44232,0.47694,0.50122,0.48662,0.48122,0.47752,0.51061,0.55841,0.49477,0.5389,0.52983,0.54465,0.5453,0.59879,0.64006,0.60504,0.57595,0.56502,0.56567,0.54333,0.57655,0.53795,0.52691,0.50426,0.48119,0.48965,0.47612,0.48131,0.49777,0.48233,0.47002,0.45776,0.42473,0.38008,0.28673,0.28424,0.24718,0.2848,0.38884,0.36677,0.47724,0.5432,0.53237,0.53237
0.2006,0.24381,0.34673,0.43368,0.38251,0.32338,0.29186,0.28071,0.37693,0.44179,0.46573,0.46694,0.44565,0.4578,0.48826,0.49027,0.45224,0.53305,0.4792,0.50828,0.50974,0.56234,0.58523,0.59705,0.56599,0.58488,0.55844,0.57326,0.57329,0.54708,0.52196,0.49768,0.48895,0.41958,0.40942,0.38189,0.38435,0.3883,0.391,0.40797,0.35487,0.37144,0.27069,0.33078,0.27898,0.35406,0.45556,0.49005,0.50976,0.55911,0.53098,0.53098
0.13487,0.25877,0.28693,0.29294,0.30079,0.25612,0.31469,0.29805,0.31154,0.31654,0.40399,0.43934,0.42808,0.42971,0.4315,0.44889,0.42746,0.44596,0.46252,0.48431,0.48774,0.51851,0.5287,0.55127,0.54812,0.55295,0.53063,0.52944,0.57546,0.53825,0.53042,0.51016,0.47891,0.47158,0.45299,0.43258,0.43262,0.42722,0.42111,0.43631,0.41567,0.41062,0.36112,0.35876,0.27626,0.26665,0.37124,0.45285,0.51503,0.54154,0.56341,0.56341
0.28274,0.28354,0.17951,0.15218,0.14398,0.17767,0.15429,0.19088,0.21095,0.29744,0.34045,0.35044,0.33574,0.31117,0.24321,0.23731,0.23745,0.20827,0.19578,0.2006,0.21812,0.19687,0.30944,0.35676,0.34545,0.36587,0.36261,0.35838,0.39696,0.36035,0.3577,0.30751,0.22964,0.25477,0.19482,0.1873,0.16118,0.18256,0.19779,0.1802,0.18692,0.17429,0.15091,0.14719,0.12354,0.15747,0.26993,0.35318,0.41207,0.42471,0.41139,0.41139
0.25492,0.21149,0.14983,0.18177,0.26924,0.33234,0.27185,0.24122,0.18138,0.28204,0.083812,0.12023,0.12349,1.38E-46,0.17504,0.18358,0.17778,0.24541,0.23506,0.22095,0.23166,0.42237,0.50889,0.50974,0.49309,0.57844,0.57374,0.57586,0.58858,0.57647,0.53605,0.49853,0.4485,0.49354,0.49262,0.50545,0.52793,0.57016,0.56153,0.5288,0.52939,0.47788,0.39033,0.34236,0.21324,0.11169,0.11032,0.37949,0.41804,0.50185,0.48806,0.48806
0.28017,0.37952,0.36798,0.40599,0.39539,0.40518,0.38952,0.34348,0.29173,0.30426,0.33879,0.38506,0.396,0.36756,0.34284,0.34567,0.35208,0.33863,0.33767,0.35132,0.35691,0.38778,0.43601,0.47366,0.46061,0.48567,0.46167,0.46911,0.49088,0.46163,0.44057,0.41093,0.37245,0.37784,0.38532,0.40047,0.42655,0.429,0.40788,0.37715,0.32384,0.28457,0.19385,0.10583,0.00073758,1.84E-16,0.083368,0.2274,0.33695,0.39075,0.40465,0.40465
0.39559,0.41964,0.42899,0.42386,0.3837,0.3654,0.3583,0.25737,0.1826,0.1774,0.19799,0.22481,0.26738,0.25832,0.24214,0.24735,0.22596,0.26713,0.31162,0.31666,0.34573,0.39102,0.43065,0.44639,0.45578,0.49493,0.47955,0.48106,0.50504,0.47715,0.45775,0.43545,0.40596,0.40564,0.40191,0.42034,0.43428,0.4281,0.40316,0.37876,0.33742,0.29335,0.18147,0.1127,3.82E-41,2.30E-74,0.088067,0.26382,0.34519,0.37974,0.39446,0.39446
0.28155,0.27265,0.23179,0.22722,0.1595,0.17263,0.12784,0.15878,0.039311,0.12369,0.17675,0.20432,0.21271,0.20726,0.2037,0.21602,0.22243,0.21476,0.24062,0.26589,0.31219,0.35704,0.40304,0.41764,0.41219,0.39659,0.36064,0.34218,0.36508,0.32255,0.30554,0.26987,0.25131,0.27972,0.31127,0.36595,0.40677,0.42035,0.39888,0.36494,0.32987,0.28112,0.17616,0.10534,5.43E-23,1.36E-27,5.80E-05,0.10128,0.20711,0.28513,0.30269,0.30269
0.1715,0.24392,0.32575,0.477,0.4828,0.48939,0.45664,0.42681,0.42174,0.4371,0.47575,0.47907,0.48775,0.47765,0.47605,0.50711,0.45388,0.51553,0.51488,0.53183,0.54422,0.58072,0.62494,0.62161,0.60897,0.58742,0.5487,0.53314,0.56651,0.51581,0.5042,0.49403,0.49217,0.49207,0.51874,0.52735,0.55213,0.56614,0.54382,0.53885,0.50633,0.47024,0.37191,0.34042,0.26409,0.21996,0.31533,0.40161,0.48588,0.51945,0.53862,0.53862
0.13666,0.22015,0.26137,0.27232,0.27567,0.28163,0.30425,0.29181,0.30496,0.39785,0.39238,0.44073,0.43582,0.39601,0.3971,0.3772,0.34023,0.35499,0.35496,0.38208,0.39423,0.39065,0.41939,0.4375,0.45296,0.47876,0.47336,0.46888,0.48423,0.45972,0.44536,0.4003,0.34817,0.3604,0.33682,0.29288,0.25234,0.24732,0.26068,0.24658,0.24087,0.26008,0.1652,0.16553,0.15123,0.23052,0.30559,0.41336,0.46902,0.50556,0.51052,0.51052
0.16312,0.19128,0.15502,0.17691,0.12947,0.11515,0.15985,0.15342,0.23614,0.26141,0.31563,0.36388,0.39422,0.35517,0.369,0.38679,0.38718,0.39874,0.38096,0.4108,0.41332,0.43571,0.47891,0.47795,0.45742,0.47093,0.45418,0.44918,0.46809,0.42643,0.41334,0.37241,0.33668,0.31785,0.28658,0.31315,0.30912,0.31047,0.29677,0.32326,0.2719,0.26538,0.26103,0.29977,0.32111,0.3501,0.40034,0.4311,0.43868,0.44019,0.42748,0.42748
0.29309,0.20755,0.059481,6.38E-41,2.27E-53,1.13E-33,0.065496,0.086683,0.25532,0.36801,0.46895,0.47878,0.49121,0.47841,0.46653,0.50596,0.47055,0.55419,0.58316,0.62628,0.61858,0.63285,0.63666,0.65922,0.61663,0.62247,0.58997,0.5641,0.61905,0.56097,0.56963,0.53927,0.52088,0.50266,0.49525,0.52987,0.48622,0.51414,0.48908,0.5012,0.48101,0.42974,0.44124,0.43486,0.39294,0.37624,0.41029,0.44587,0.55037,0.56367,0.58958,0.58958
0.44294,0.53633,0.67177,0.7074,0.64479,0.6504,0.655,0.5935,0.60578,0.61138,0.64061,0.6523,0.66207,0.64456,0.63213,0.67552,0.65943,0.68007,0.69624,0.71029,0.71454,0.73444,0.76387,0.74111,0.73904,0.7151,0.70814,0.70967,0.71765,0.6989,0.66148,0.67462,0.6417,0.65207,0.64501,0.63936,0.71047,0.64879,0.66774,0.60801,0.61706,0.51697,0.45196,0.43682,0.42457,0.53832,0.57508,0.60621,0.69111,0.64003,0.74209,0.74209
0.27062,0.24947,0.23131,0.23047,0.19368,0.2318,0.21818,0.3046,0.35178,0.46162,0.44564,0.47907,0.46378,0.43685,0.42021,0.38562,0.34153,0.36489,0.40338,0.4105,0.43781,0.45185,0.49351,0.52109,0.52169,0.53544,0.51668,0.50217,0.53164,0.48129,0.4612,0.42706,0.37272,0.37164,0.39083,0.32404,0.34339,0.39234,0.36624,0.37347,0.37381,0.32165,0.29343,0.33338,0.35138,0.39327,0.42727,0.4534,0.47154,0.4668,0.47087,0.47087
0.74163,0.56975,0.63738,0.64959,0.61964,0.62269,0.61374,0.55078,0.49952,0.4939,0.46448,0.51892,0.52366,0.49468,0.42782,0.47641,0.56088,0.53184,0.6076,0.63941,0.63077,0.6752,0.7308,0.74987,0.75604,0.77207,0.74533,0.75612,0.76168,0.73785,0.72612,0.70945,0.72213,0.68761,0.70228,0.72529,0.7353,0.73724,0.70742,0.68402,0.67067,0.61722,0.53143,0.49611,0.4864,0.43686,0.51051,0.54591,0.699,0.70202,0.72303,0.72303
0.32847,0.32132,0.32033,0.29552,0.23876,0.2116,0.17586,0.093167,0.048693,0.042431,0.046486,0.013704,0.10564,0.080336,0.051812,0.057064,0.077215,0.10522,0.15595,0.18299,0.22393,0.26922,0.31686,0.34545,0.34629,0.36027,0.3495,0.34394,0.36251,0.35517,0.34413,0.32168,0.3058,0.3169,0.31948,0.33436,0.3419,0.32575,0.31249,0.25631,0.15156,0.091707,0.013422,2.89E-08,1.90E-14,1.49E-27,0.00029208,0.12122,0.19313,0.23854,0.26888,0.26888
0.41076,0.45837,0.49107,0.52649,0.50694,0.49458,0.49952,0.49538,0.49759,0.55282,0.56639,0.57343,0.55529,0.51283,0.49706,0.48817,0.44995,0.50955,0.56092,0.60819,0.63844,0.63983,0.66905,0.70871,0.66156,0.66751,0.65172,0.64577,0.66736,0.62231,0.61789,0.58291,0.5681,0.56799,0.52952,0.5343,0.53002,0.53569,0.53553,0.55167,0.53321,0.51556,0.4533,0.44546,0.46574,0.36917,0.50107,0.54125,0.60382,0.63992,0.63787,0.63787
0.34406,0.33362,0.30877,0.27496,0.21942,0.1861,0.15294,0.096055,0.059405,0.05781,0.060573,0.073053,0.060029,0.056732,0.048656,0.093075,0.079138,0.083951,0.12135,0.1616,0.16291,0.19333,0.24976,0.28864,0.31235,0.33999,0.34008,0.347,0.37135,0.36136,0.34751,0.32459,0.31574,0.31392,0.30907,0.3032,0.332,0.3106,0.28812,0.24864,0.20876,0.16852,0.092031,0.026957,1.73E-36,2.05E-44,0.022188,0.12916,0.21002,0.25747,0.2752,0.2752
0.065437,0.13907,0.15774,0.19397,0.2141,0.25219,0.28065,0.31737,0.32463,0.34186,0.36043,0.36275,0.35456,0.32634,0.33211,0.35012,0.31199,0.32954,0.35932,0.36094,0.36648,0.37892,0.38141,0.41049,0.41524,0.45161,0.43883,0.44724,0.47185,0.44697,0.44052,0.41978,0.39236,0.371,0.34051,0.35239,0.34513,0.36171,0.36257,0.35031,0.32641,0.28921,0.23627,0.20936,0.15726,0.13996,0.24853,0.32638,0.39823,0.43834,0.44158,0.44158
0.27059,0.25256,0.52551,0.46789,0.47475,0.55762,0.37563,0.44366,0.38518,0.46691,0.56431,0.59043,0.57602,0.59471,0.62318,0.65276,0.64113,0.67242,0.66497,0.69408,0.70853,0.72334,0.72736,0.71679,0.66743,0.69702,0.59895,0.61833,0.62326,0.57897,0.57232,0.46571,0.59053,0.52547,0.54594,0.57747,0.61614,0.5974,0.5879,0.5899,0.54288,0.52037,0.43099,0.43485,0.27835,0.15767,0.32083,0.39848,0.56349,0.60204,0.65119,0.65119
0.11395,0.14645,0.25686,0.18537,0.21262,0.20078,0.18805,0.15036,0.20822,0.26237,0.29624,0.30097,0.29344,0.27969,0.26057,0.28769,0.2711,0.26202,0.27876,0.30985,0.34523,0.37355,0.42457,0.44528,0.44181,0.46954,0.43178,0.42526,0.44454,0.41361,0.3952,0.36561,0.33828,0.32558,0.30827,0.31239,0.33255,0.34218,0.31864,0.30601,0.28125,0.25867,0.19059,0.13971,0.096041,0.079379,0.1049,0.22079,0.29437,0.35137,0.37895,0.37895
0.18579,0.20587,0.17074,0.1841,0.17481,0.20397,0.1278,0.23302,0.3822,0.37683,0.43567,0.4347,0.46841,0.42489,0.42801,0.44075,0.44527,0.47638,0.45633,0.47532,0.47825,0.46395,0.52934,0.54143,0.52957,0.53665,0.54346,0.52644,0.56461,0.51983,0.5191,0.49682,0.43492,0.42903,0.40857,0.36399,0.35364,0.39435,0.30962,0.32019,0.27791,0.24363,0.20882,0.22804,0.28721,0.30272,0.39629,0.46763,0.50626,0.5183,0.51888,0.51888
0.19959,0.18322,0.14522,0.14963,0.20729,0.089467,0.094268,0.27828,0.34428,0.38289,0.39911,0.40615,0.41146,0.39338,0.37524,0.36365,0.33638,0.37673,0.39364,0.41789,0.40325,0.45101,0.49988,0.5173,0.53076,0.52439,0.51011,0.49976,0.52186,0.47901,0.4685,0.4474,0.41639,0.40078,0.39607,0.38983,0.43067,0.45983,0.48986,0.48709,0.46716,0.4324,0.39778,0.38207,0.36826,0.30901,0.36212,0.43044,0.50651,0.54117,0.5578,0.5578
0.23633,0.29304,0.27123,0.26691,0.24102,0.2152,0.18238,0.14837,0.13034,0.18455,0.20753,0.22361,0.22466,0.20909,0.18951,0.2006,0.20896,0.21403,0.23423,0.26597,0.28555,0.3202,0.36747,0.4049,0.40886,0.43769,0.41952,0.4032,0.42031,0.38521,0.38515,0.35391,0.33053,0.32818,0.32469,0.34857,0.37077,0.37788,0.36766,0.34337,0.30607,0.26994,0.19803,0.13494,0.030344,3.18E-20,3.70E-05,0.14119,0.23725,0.29882,0.33227,0.33227
0.50909,0.49042,0.47552,0.50103,0.48878,0.53507,0.5719,0.58933,0.54982,0.56599,0.64957,0.68409,0.66907,0.691,0.66509,0.6407,0.64047,0.70939,0.68666,0.64581,0.68948,0.69704,0.6713,0.69519,0.67888,0.70216,0.69815,0.68245,0.68194,0.66577,0.64676,0.62014,0.6063,0.59624,0.62386,0.61461,0.68539,0.72593,0.70296,0.65017,0.60436,0.58269,0.5137,0.45726,0.45343,0.4315,0.5789,0.67864,0.68768,0.71342,0.69972,0.69972
0.39333,0.53307,0.54393,0.508,0.4811,0.47532,0.40849,0.34322,0.29854,0.25095,0.31941,0.3307,0.43077,0.38097,0.39873,0.37103,0.38789,0.41159,0.41355,0.47365,0.53505,0.54868,0.58857,0.60224,0.60281,0.61956,0.5695,0.59269,0.61947,0.574,0.55789,0.53686,0.51248,0.53575,0.52338,0.53653,0.52766,0.54781,0.51548,0.49243,0.41937,0.41717,0.2595,0.20811,0.097671,0.0037694,0.081842,0.35467,0.48064,0.50402,0.52044,0.52044
0.24907,0.25567,0.22355,0.25007,0.23028,0.25544,0.30697,0.4062,0.44719,0.48666,0.48602,0.48629,0.46909,0.44057,0.41483,0.44381,0.43142,0.44938,0.42584,0.43235,0.43792,0.44766,0.46131,0.48156,0.47592,0.53089,0.51829,0.52856,0.55371,0.5435,0.52185,0.51871,0.5048,0.46741,0.4433,0.45458,0.44162,0.43791,0.42863,0.41595,0.38468,0.35842,0.28117,0.20825,0.1311,0.24493,0.33598,0.42335,0.51261,0.52816,0.54021,0.54021
0.50566,0.73807,0.64518,0.58196,0.69977,0.58666,0.60491,0.61465,0.586,0.60507,0.60203,0.61053,0.6447,0.64391,0.68986,0.75841,0.67656,0.74216,0.73912,0.76546,0.76226,0.78652,0.78216,0.76008,0.75577,0.74611,0.72114,0.72122,0.7293,0.69123,0.65735,0.67717,0.67071,0.68686,0.67429,0.7041,0.68361,0.70083,0.65782,0.63397,0.59131,0.53289,0.46083,0.33253,0.27474,0.37286,0.29728,0.54834,0.57994,0.72688,0.73505,0.73505
0.17802,0.15812,0.18157,0.26405,0.20106,0.2136,0.24188,0.26663,0.29912,0.36364,0.387,0.40698,0.40296,0.38063,0.36619,0.37049,0.35429,0.37193,0.35567,0.39628,0.40943,0.40186,0.44342,0.44636,0.45625,0.48421,0.4961,0.46296,0.47723,0.43427,0.41309,0.40284,0.34116,0.36262,0.34656,0.36047,0.33317,0.35009,0.37295,0.31266,0.29088,0.23866,0.16267,0.11348,0.048838,3.25E-30,0.26172,0.33233,0.41482,0.44618,0.47311,0.47311
0.15822,0.23217,0.20837,0.2342,0.25638,0.24586,0.26791,0.29643,0.37662,0.40355,0.42872,0.4257,0.4131,0.40805,0.39251,0.37005,0.35137,0.4062,0.3665,0.37089,0.38623,0.42936,0.43067,0.44459,0.43952,0.45233,0.45522,0.45546,0.47832,0.46462,0.46682,0.43459,0.37383,0.41647,0.37061,0.35656,0.35173,0.35503,0.34933,0.34503,0.31253,0.29862,0.26069,0.31699,0.24472,0.2743,0.3227,0.38207,0.43992,0.45512,0.46064,0.46064
0.21428,0.19855,0.23677,0.26149,0.25033,0.26107,0.31505,0.36347,0.40247,0.41076,0.42325,0.42164,0.38558,0.37283,0.36306,0.37639,0.38659,0.46794,0.46031,0.47736,0.48359,0.50137,0.5384,0.54306,0.52097,0.53,0.51564,0.51808,0.54561,0.49754,0.48106,0.45628,0.43555,0.40775,0.39919,0.38451,0.37734,0.37565,0.37147,0.36672,0.35334,0.33323,0.29771,0.33994,0.34995,0.36244,0.40519,0.4141,0.45932,0.44224,0.47166,0.47166
0.73179,0.70082,0.50525,0.40759,0.26899,2.99E-288,5.92E-26,0.61667,0.30156,0.40481,0.44616,0.49049,0.30794,0.35676,0.45854,0.49684,0.2283,0.30043,0.25895,0.56711,0.56017,0.65646,0.72603,0.78903,0.75227,0.7808,0.76512,0.75987,0.80563,0.78319,0.77903,0.77441,0.77607,0.76924,0.77794,0.77977,0.80374,0.78381,0.75609,0.74871,0.73083,0.69625,0.56151,0.51501,0.3478,0.25189,0.44397,0.62719,0.71933,0.78345,0.78535,0.78535
0.24151,0.32985,0.36068,0.39661,0.39876,0.40454,0.41901,0.36222,0.34708,0.35456,0.39428,0.41786,0.41643,0.41941,0.39889,0.41518,0.41184,0.40304,0.38508,0.42184,0.41192,0.43518,0.4427,0.48306,0.47748,0.51821,0.505,0.51038,0.52855,0.53134,0.504,0.49589,0.45946,0.44391,0.42923,0.44455,0.4416,0.44836,0.42774,0.40655,0.35994,0.32248,0.26704,0.19763,0.18314,0.224,0.2667,0.35592,0.43263,0.46718,0.48677,0.48677
0.17337,0.1273,0.045249,0.05735,0.063292,0.017136,0.099725,0.099922,0.146,0.18763,0.21755,0.24046,0.22792,0.20804,0.18624,0.16369,0.14088,0.15522,0.18884,0.19746,0.21021,0.23803,0.30912,0.34098,0.34157,0.36653,0.31507,0.31837,0.36252,0.31128,0.30219,0.27064,0.23066,0.22971,0.20939,0.2268,0.25881,0.27053,0.29239,0.28889,0.27849,0.23613,0.24264,0.19151,0.15937,0.11502,0.1742,0.23925,0.27658,0.35407,0.36158,0.36158
0.30181,0.37349,0.34104,0.23748,0.22886,0.34249,0.34051,0.19124,0.3692,0.43768,0.55584,0.50283,0.53736,0.5131,0.4937,0.56158,0.55412,0.5638,0.55339,0.57909,0.59222,0.62734,0.65393,0.67758,0.6639,0.68127,0.67834,0.67767,0.68554,0.65146,0.64164,0.60876,0.5772,0.58677,0.58633,0.61496,0.62007,0.61053,0.60536,0.60849,0.59532,0.56572,0.53556,0.4853,0.41009,0.38908,0.43017,0.51944,0.60246,0.6305,0.68388,0.68388
0.12041,0.11643,0.13591,0.2306,0.22659,0.26033,0.27515,0.21518,0.22768,0.29776,0.3308,0.35398,0.34471,0.33589,0.32236,0.32576,0.37078,0.42146,0.43531,0.43535,0.48971,0.47197,0.50273,0.4977,0.46421,0.46971,0.44496,0.42364,0.46222,0.41292,0.39271,0.35917,0.32551,0.32364,0.2952,0.3062,0.32947,0.35522,0.32987,0.3293,0.29676,0.26619,0.16359,0.096362,1.84E-06,2.01E-06,0.092262,0.21969,0.3687,0.38893,0.39763,0.39763
0.31789,0.15028,0.38553,0.22601,0.17597,0.26002,0.09699,0.24188,0.41941,0.46281,0.45611,0.51647,0.50377,0.40656,0.51887,0.43121,0.50276,0.60562,0.61555,0.64294,0.67565,0.69372,0.73186,0.72077,0.6837,0.67158,0.65009,0.63178,0.69394,0.63547,0.59846,0.52955,0.58988,0.5447,0.51734,0.54403,0.52605,0.53639,0.5308,0.54983,0.54201,0.57716,0.53596,0.54873,0.52549,0.54782,0.5791,0.58877,0.63806,0.6753,0.69302,0.69302